重复组号,重复条数,涉及景点数,评论内容,涉及景点,评论编号列表
93,6,5,总体还可以,大昭寺、扎什伦布寺、滇金丝猴国家公园、虎跳峡(香格里拉段)、香巴拉时轮坛城文化博览中心,162829283、216586840、204989198、161745160、170225293、166702743
94,6,4,可以去看看,噶丹松赞林寺、康定木格措景区、稻城亚丁、虎跳峡(香格里拉段),215041191、230077044、219676360、217124937、216107816、209110889
95,6,1,的确很值得带孩子去看一次！现场很壮观！真的读万卷书不如行万里路！我们是早上6点半就从古城出发了，错开高峰期，一路畅通无阻！,虎跳峡(香格里拉段),179256769、179256774、179256767、179256784、179256588、179256602
96,6,6,值得推荐，景色不错，有趣好玩，体验很好，,《文成公主》大型史诗剧、墨石公园景区、大昭寺、康定木格措景区、纳木措景区、虎跳峡(香格里拉段),164401741、163867613、164105085、164739708、164156986、163761138
97,6,3,导游非常好,大昭寺、布达拉宫、色拉寺,171023465、222184565、217526723、216547948、171253328、166010410
98,6,6,景色很漂亮,巴塘措普沟景区、巴松措、康定木格措景区、松赞林景区、纳木措景区、羊卓雍错,210769994、788005604、167186500、220915703、647878526、172852130
99,6,5,景色太美了,巴塘措普沟景区、普达措国家公园、稻城亚丁、纳木措景区、羊卓雍错,177552309、185315831、797264007、217634565、231540366、224998887
100,6,5,一般一般一般,墨石公园景区、大昭寺、珠峰景区、纳木措景区、羊卓雍错,173302397、667290317、217610814、167059665、216957021、216957077
101,6,6,景色很好看,噶丹松赞林寺、康定木格措景区、普达措国家公园、纳木措圣象天门、纳木措景区、羊卓雍错,167741174、224236650、222624578、224368726、790105751、772378874
102,6,4,景色不错，值得推荐，体验很好，,康定木格措景区、普达措国家公园、纳木措景区、羊卓雍错,163761160、164450584、163965392、164119658、163992110、164004084
103,6,2,路途比较远和朋友一起开了六七个小时路上限速很多不过风景很漂亮,纳木措景区、羊卓雍错,161246294、161246368、161246367、161247835、161246296、161247542
104,6,6,有趣好玩，景色不错，性价比高，总体超赞，,《文成公主》大型史诗剧、大昭寺、巴松措、康定木格措景区、松赞林景区、纳木措景区,164866499、166491523、165619755、166634030、166756663、164914172
105,6,5,值得推荐，景色不错，体验很好，,噶丹松赞林寺、墨石公园景区、大昭寺、普达措国家公园、纳木措景区,164764680、163845034、164063422、164065365、164566207、163637053
106,6,3,讲解非常好,大昭寺、布达拉宫、松赞林景区,221012618、218273959、216748638、171453791、166697419、166313317
107,6,6,值得一去的,墨石公园景区、大昭寺、巴塘措普沟景区、巴松措、普达措国家公园、松赞林景区,167967100、691885335、205566999、205567034、179511069、680012194
108,6,1,在携程上***了之后，到现场入口处直接刷***入园，非常方便，特别是和其它景区还需要拿订单号去售票处兑票相比，真是非常非常方便了,康定木格措景区,164660362、164660344、164660342、164660360、164660351、164660318
109,6,1,没有想象中好，但来了拉萨还是要看看！建议提早半个月买票划算,布达拉宫,162314095、162314155、162314154、162314134、162314151、162314141
110,6,2,整体还不错,噶丹松赞林寺、巴松措,197632597、197632562、180720831、221745679、218556171、218556129
111,5,5,非常好，值得推荐,属都湖、布达拉宫、措木及日、松赞林景区、香格里拉巴拉格宗风景名胜区,818493950、230720813、178963166、685071661、216107739
112,5,5,不错的地方,巴松措、羊卓雍错、藏域星球天文体验馆、雅鲁藏布大峡谷、香格里拉巴拉格宗风景名胜区,200930011、226629383、178131786、182497554、798985510
113,5,3,方便快捷，直达景区,噶丹松赞林寺、松赞林景区、香格里拉巴拉格宗风景名胜区,173784537、173784550、173784505、173784554、173784527
114,5,3,总体超赞，性价比高，有趣好玩，景色不错，,噶丹松赞林寺、纳木措景区、香格里拉巴拉格宗风景名胜区,165404931、166930559、166910444、166490566、166480757
115,5,4,景色不错，体验很好，有趣好玩，值得推荐，,石卡雪山、纳木措圣象天门、纳木措景区、香格里拉巴拉格宗风景名胜区,164249839、164266189、163953350、163868972、164535299
116,5,1,景点没有想象中震撼，几个点较分散，门票加景区车加漂流、溜索全套下来较贵，显得整体性价比不高，价格能便宜点就更好了。景区开发者故事感人、励志。,香格里拉巴拉格宗风景名胜区,161415298、161414605、161416364、161415516、161415197
117,5,3,很美很漂亮,南迦巴瓦峰、康定木格措景区、雅鲁藏布大峡谷,748532254、691603116、691602878、673505099、217516300
118,5,4,风景很美丽,南迦巴瓦峰、巴松措、羊卓雍错、雅鲁藏布大峡谷,220736846、759417590、633019654、233749545、656895275
119,5,3,景色非常不错,巴塘措普沟景区、巴松措、雅鲁藏布大峡谷,219123227、663401593、243028997、223942153、218069573
120,5,5,省去了景区门口的排队时间，购买后，出票很快，景区门口刷身份证就可以，还是十分方便，儿童成人老人票都可以一键购买，值得推荐，不错的体验,巴松措、康定木格措景区、纳木措景区、羊卓雍错、雅鲁藏布大峡谷,181873456、181873457、181873443、184013803、181873465
121,5,4,景色一般，,康定木格措景区、木雅圣地景区、羊卓雍错、雅鲁藏布大峡谷,166834651、164144622、164068843、164221022、166847347
122,5,4,体验很好，值得推荐，有趣好玩，景色不错，,噶丹松赞林寺、康定木格措景区、虎跳峡(香格里拉段)、雅鲁藏布大峡谷,163933603、164554544、164205514、163889286、164276088
123,5,5,感觉挺好的,《文成公主》大型史诗剧、大昭寺、松赞林景区、羊卓雍错、虎跳峡(香格里拉段),772433698、175395507、221285674、180495302、210461910
124,5,3,服务很好，值得推荐,巴松措、稻城亚丁、虎跳峡(香格里拉段),755477311、755477024、755477885、755477738、178169612
125,5,5,非常不错的景区,噶丹松赞林寺、墨石公园景区、稻城亚丁、纳木措国家公园、虎跳峡(香格里拉段),667667743、172436755、242137057、179378774、166679509
126,5,5,还是不错的,巴松措、独克宗古城、白水台、纳木措景区、虎跳峡(香格里拉段),650684777、212644748、789472797、162225722、217483008
127,5,2,很壮观，值得一去,南迦巴瓦峰、虎跳峡(香格里拉段),238531791、235118892、222602129、218484330、709495830
128,5,5,景色不错。,巴松措、白水台、稻城亚丁、羊卓雍错、虎跳峡(香格里拉段),233046696、164376235、720593133、179426377、769776981
129,5,5,非常不错的地方,奇林峡风景区、巴松措、松赞林景区、珠峰大本营、虎跳峡(香格里拉段),221748920、171026922、167290734、203372310、223619656
130,5,4,非常的不错,巴塘措普沟景区、布达拉宫、松赞林景区、虎跳峡(香格里拉段),218651238、219632526、166488288、784625423、211829248
131,5,5,值得一游！,亚丁村、普达措国家公园、松赞林景区、珠峰景区、羊卓雍错,217955459、223440190、221375134、164230341、193133452
132,5,3,总体超赞，性价比高，,墨石公园景区、大昭寺、羊卓雍错,166464924、166899908、166548800、166281150、166635142
133,5,4,性价比高，总体超赞，,南迦巴瓦峰、大昭寺、布达拉宫、羊卓雍错,165127717、166835588、165138609、164912026、166850968
134,5,5,很不错的景点,噶丹松赞林寺、巴松措、珠峰大本营、稻城亚丁、羊卓雍错,163977986、195870298、214629493、181796576、189315113
135,5,4,景色不错，值得推荐，体验很好，有趣好玩，,布达拉宫、石卡雪山、纳木措景区、羊卓雍错,163953334、163845907、163833808、164277105、164172393
136,5,5,服务态度好,大昭寺、巴松措、珠峰大本营、珠峰景区、纳木措景区,727611228、195976495、204039606、222397351、171198198
137,5,5,非常不错的景点,噶丹松赞林寺、巴塘措普沟景区、巴松措、稻城亚丁、纳木措景区,236044243、678064843、175008878、228352300、749946422
138,5,5,很漂亮的地方,噶丹松赞林寺、巴塘措普沟景区、巴松措、稻城亚丁、纳木措景区,229613203、170473685、178160555、224409564、179930665
139,5,4,风景挺好的,墨石公园景区、奇林峡风景区、康定木格措景区、纳木措景区,229147192、219139523、167039542、175412682、731976617
140,5,5,值得推荐，体验很好，景色不错，有趣好玩，,《文成公主》大型史诗剧、康定木格措景区、松赞林景区、石卡雪山、纳木措景区,163933596、164535311、164031572、163516348、163726073
141,5,4,值得推荐，体验很好，有趣好玩，景色不错，,大昭寺、布达拉宫、康定木格措景区、纳木措景区,163614050、164105101、163657679、164840629、164705576
142,5,5,还可以。。,世界柏树王园林、康定木格措景区、玉龙拉措景区、珠峰景区、纳木措国家公园,181909127、225478310、226174614、212329629、194220762
143,5,5,美丽的风景，别致的建筑，值得打卡！,南山公园、拉萨大桥、拉萨市拉萨河水利风景区、拉萨河、纳木措国家公园,178276980、177883354、178042952、178108774、178126063
144,5,5,风景非常美,南迦巴瓦峰、巴松措、普达措国家公园、稻城亚丁、纳木措国家公园,170652634、229420346、654308600、233749370、241237725
145,5,1,非常好值得来，景色宜人风景秀丽迷人,稻城亚丁,805681766、805681633、805681535、805681409、805681311
146,5,3,大自然的鬼斧神工,墨石公园景区、奇林峡风景区、白水台,226312038、182491009、176252202、175045546、171473188
147,5,5,【景色】美 【趣味】多 【性价比】高,康定木格措景区、新都桥、洛绒牛场、牛奶海、甘孜稻城亚丁景区-仙乃日,170650103、170527879、171444536、171377054、170687821
